id,year,parentBce,parentName,filingRef,startDate,endDate,childBce,childName,country,endStakeholding,direct,indirect
1,2025,"0695982819","""Parentia Wallonie""","2025-00188114",2024-01-01,2024-12-31,"0479282740","""PARTENA Business Solutions shared""",BE,2023-12-31,0.000,0.000
2,2025,"0726908991","""Parentia Brussels""","2025-00189317",2024-01-01,2024-12-31,"0479282740","""PARTENA Business Solutions shared""",BE,2023-12-31,0.000,0.000
3,2025,"0408661790","""PARTENA - GUICHET D'ENTREPRISES - PARTENA - ONDERNEMINGSLOKET""","2025-00176978",2024-01-01,2024-12-31,"0479282740","""PARTENA Business Solutions""",BE,2023-12-31,0.000,0.000
4,2025,"0422362942","""VERSALIS INTERNATIONAL""","2025-00073081",2024-01-01,2024-12-31,,""" Versalis Asia Pacific Pte. Ltd.""",SG,2023-12-31,0.000,0.000
5,2025,"0433666709","""INBEV BELGIUM""","2025-00104862",2024-01-01,2024-12-31,,"""AB InBev Western European Holding BV""",,2023-12-31,0.000,0.000
6,2025,"0433666709","""INBEV BELGIUM""","2025-00104862",2024-01-01,2024-12-31,,"""AB-Inbev Nederland Holding BV""",,2023-12-31,0.000,0.000
7,2025,"0433666709","""INBEV BELGIUM""","2025-00104862",2024-01-01,2024-12-31,,"""Inbev France""",,2023-12-31,0.000,0.000
8,2025,"0433666709","""INBEV BELGIUM""","2025-00104862",2024-01-01,2024-12-31,,"""Worldoor Limited Liability Private Company""",,2023-12-31,0.000,0.000
9,2025,"0456551086","""GLOBAL SAFETY""","2025-00172706",2024-01-01,2024-12-31,"0430151250","""Dimex""",BE,2024-12-31,0.000,0.000
10,2025,"0456551086","""GLOBAL SAFETY""","2025-00172706",2024-01-01,2024-12-31,"0442204093","""Vandeputte Safety International""",BE,2024-12-31,0.000,0.000
11,2025,"0404632629","""GE HEALTHCARE""","2025-00213500",2024-01-01,2024-12-31,,"""GE MIDDLE EAST HEALTHCARE SERVICES""",JO,2023-12-31,0.000,49.000
12,2025,"0811632652","""VENTO INTERNATIONAL""","2025-00299608",2024-01-01,2024-12-31,,"""Stamped Fittings US""",US,2024-12-31,0.000,50.000
13,2025,"0404491285","""SIPEF""","2025-00277913",2024-01-01,2024-12-31,,"""P.T. MELANIA""",ID,2020-12-31,0.000,55.000
14,2025,"0404491285","""SIPEF""","2025-00277913",2024-01-01,2024-12-31,,"""P.T.  KERASAAN""",ID,2023-12-31,0.000,57.000
15,2025,"0811632652","""VENTO INTERNATIONAL""","2025-00299608",2024-01-01,2024-12-31,,"""TVG sp. z o.o.""",PL,2024-12-31,0.000,74.900
16,2025,"0443670476","""VIVACTIS GROUP""","2025-00250149",2024-01-01,2024-12-31,,"""VIVACTIS MULTIMEDIA""",FR,2024-12-31,0.000,75.000
17,2025,"0459940247","""MATRATEX""","2025-00393531",2024-01-01,2024-12-31,"0417941227","""Revor Group""",BE,2023-12-31,0.000,85.000
18,2025,"0404491285","""SIPEF""","2025-00277913",2024-01-01,2024-12-31,,"""P.T. BANDAR SUMATRA""",ID,2023-12-31,0.000,95.000
19,2025,"0404491285","""SIPEF""","2025-00277913",2024-01-01,2024-12-31,,"""P.T. EASTERN SUMATRA""",ID,2023-12-31,0.000,95.000
